指标,地区,频度,单位,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12
房地产开发企业商品房销售额_累计,全国,月,亿元,5972.29,12023.08,17738.72,24408.62,34259.21,41170.76,48041.56,56744.81,64789.77,74522.19,87280.84,8576.81,18524.27,27655.65,36775.49,48682.35,57569.05,66622.98,80208.16,91482.12,102502.67,117627.05
房地产开发企业商品房销售额_累计,北京市,月,亿元,222.26,402.17,624.6,909.13,1228.56,1565.88,1898.36,2217.64,2488.49,2990.09,3517.65,333.32,675.3,1091.6,1414.86,1859.94,2303.8,2678.14,3194.16,3615.29,3957.43,4561.6
房地产开发企业商品房销售额_累计,天津市,月,亿元,159.18,303.93,381.14,533.59,687.36,799.65,947.8,1111.16,1280.96,1421.55,1790.01,215.87,500.68,839.72,1070.58,1267.44,1442.1,1657.68,2135.41,2452.15,2831.11,3478.22
房地产开发企业商品房销售额_累计,河北省,月,亿元,95.38,326.64,473.01,657.74,1049.83,1344.75,1589.6,2019.81,2305.57,2652.58,3371.59,123.13,408.28,688.66,901.34,1465.26,1773.56,2014.19,2701.76,3077.59,3513.04,4301.83
房地产开发企业商品房销售额_累计,山西省,月,亿元,24.72,63.99,97,145.49,218.66,280.06,356.47,434.48,533.14,666.14,775.64,38.58,103.79,165.23,245.66,324.74,408.14,481.14,618.67,728.55,838.93,1027.14
房地产开发企业商品房销售额_累计,内蒙古自治区,月,亿元,5.88,48.69,82.83,146.44,258.29,316.65,401.28,580.65,762.76,907.28,1052.18,8.04,55.97,96.45,173.92,288.68,349.14,430.92,648.23,797.64,976.88,1149.08
房地产开发企业商品房销售额_累计,辽宁省,月,亿元,97.9,256.52,419.59,631.7,1032.59,1291.91,1496.24,1741.86,1938.14,2106.62,2254.97,80.48,286.84,508.17,726.29,1053.52,1280.38,1561.11,1817.75,1990.56,2149.85,2256.91
房地产开发企业商品房销售额_累计,吉林省,月,亿元,13.25,40.72,89.13,142.69,266.36,372.94,433.18,521.72,597.71,709.57,816.87,35.55,91.46,143.3,222.81,353.09,451.52,566.26,650.57,764.73,896.81,1029.58
房地产开发企业商品房销售额_累计,黑龙江省,月,亿元,27.92,93.53,153.02,209.15,323.49,403.03,491.28,605.5,751.92,866.35,1027.14,26.31,78.27,144.7,227.43,342.2,437.3,531.28,651.05,804.35,941.72,1121.04
房地产开发企业商品房销售额_累计,上海市,月,亿元,363.26,620.53,1047.03,1432.23,2043.42,2562.51,3010.6,3474.75,4016.76,4529.47,5093.55,632.47,1221.26,1700.6,2351.2,3008.11,3743.31,4391.13,5007.49,5591.58,6151.17,6695.85
房地产开发企业商品房销售额_累计,江苏省,月,亿元,667.27,1255.45,1812.4,2492.69,3366.26,3965.8,4648.46,5460.92,6259.82,7229.72,8396.2,1195.46,2497.45,3614.04,4723.48,5824.28,6643.71,7626.29,8908.29,10004.95,10991.62,12293.02
房地产开发企业商品房销售额_累计,浙江省,月,亿元,522.91,907.71,1409.14,1937.59,2688.66,3228,3734.15,4305.95,4820.49,5453.64,6299.46,700.82,1661.5,2568.16,3347.32,4248.91,5009.74,5745.45,6869.03,7846.49,8560.7,9605.1
房地产开发企业商品房销售额_累计,安徽省,月,亿元,324,608.01,831.09,1079.76,1412.58,1661.47,1905.66,2230.62,2553.94,2878.92,3369.42,413.78,806.48,1222.92,1603.44,2120.93,2551.91,2951.23,3569.75,4064.36,4516.84,5035.55
房地产开发企业商品房销售额_累计,福建省,月,亿元,325.92,611.58,847.87,1139.72,1579.06,1862.15,2111.25,2427.67,2753.87,3131.92,3585.81,446.08,837.76,1223.6,1634.27,2211.85,2612.67,2938.24,3337.57,3704.06,4072.01,4530.79
房地产开发企业商品房销售额_累计,江西省,月,亿元,130.85,250.54,364.06,481.97,674.63,802.11,921.05,1118.07,1285.22,1474.9,1863.67,157.74,338.62,508.75,722.14,990.19,1155.96,1327.29,1625.35,1904.23,2169.5,2678.37
房地产开发企业商品房销售额_累计,山东省,月,亿元,278.61,661.51,1016.61,1443.97,2032.82,2400.83,2918.34,3483.04,3934.25,4560.68,5408.01,341.05,835.78,1311.2,1811.04,2428.17,3020.04,3584.54,4547.89,5169.4,5866.93,6902.9
房地产开发企业商品房销售额_累计,河南省,月,亿元,218.57,459.72,712.28,966.22,1379.66,1676.44,1947.26,2357.84,2720.55,3170.8,3945.55,240.15,573.38,916.26,1256.33,1775,2190.67,2706.91,3475.01,4010.68,4559.72,5612.9
房地产开发企业商品房销售额_累计,湖北省,月,亿元,190.42,486.32,666.22,938.62,1368.08,1585.22,1836.52,2221.93,2521.42,2899.12,3661.37,300.74,710.69,1112.75,1487.98,2013.49,2421.44,2757.92,3302.53,3759.05,4141.18,4994.05
房地产开发企业商品房销售额_累计,湖南省,月,亿元,173.08,373.77,556.53,767.76,1071.53,1275.37,1461.31,1742.95,1982.53,2313,2738.92,225.7,489.04,737.83,1038.22,1452.74,1678.85,1926.95,2354.36,2787.22,3206.68,3751.86
房地产开发企业商品房销售额_累计,广东省,月,亿元,783.52,1571.43,2352.78,3218.29,4622.67,5581.31,6516.56,7654.83,8658.08,9893.99,11442.8,1497.12,3022.72,4331.47,5469.79,7241.8,8295.41,9532.84,11522.86,13017.02,14392.62,16214.61
房地产开发企业商品房销售额_累计,广西壮族自治区,月,亿元,118.04,242.66,346.83,481.07,692.21,795.66,910.38,1049.22,1204.89,1413.09,1747.77,164.76,304.72,450.93,608.9,829.97,957.59,1117.55,1311.12,1535.21,1782.82,2207.47
房地产开发企业商品房销售额_累计,海南省,月,亿元,125.51,202.87,273.61,383.7,477.78,542.92,615.68,688.63,747.48,853.58,982.75,175.8,352.85,481.76,627.75,765.76,867.38,938.83,1038.01,1142.8,1290.98,1490.2
房地产开发企业商品房销售额_累计,重庆市,月,亿元,271.26,522.68,742.46,980.43,1259.44,1450.48,1652.33,1910.78,2160.62,2526.96,2952.21,298.66,646.83,894.74,1155.55,1505.08,1690.72,1885.6,2204.38,2573.87,2973.3,3432
房地产开发企业商品房销售额_累计,四川省,月,亿元,381.2,714.29,993.52,1340.69,1822.05,2142.2,2475.56,2839.82,3223.79,3694.71,4199.84,444.71,904.25,1250.95,1659.72,2165.43,2544.27,2911.41,3458.97,4084.62,4752.61,5358.91
房地产开发企业商品房销售额_累计,贵州省,月,亿元,140.99,278.34,365.35,473.19,669.64,767.64,868.27,1063.53,1209.02,1455.12,1571.68,130.99,301.62,406.8,549.87,790.81,913.97,1051.41,1257.77,1438.17,1654.04,1790.53
房地产开发企业商品房销售额_累计,云南省,月,亿元,123.77,295.7,395.74,520.28,684.1,781.92,887.22,1061.59,1186.05,1439.1,1666.85,138.12,298.3,417.16,575.25,750.06,887.81,1020.64,1243.08,1400.12,1666.3,1917.76
房地产开发企业商品房销售额_累计,西藏自治区,月,亿元,0.13,0.35,1.06,3.38,4.75,6.25,11.1,14.06,17.34,20.85,21.08,0.88,1.63,2.78,5.85,11.83,16.96,21.19,25.37,31.35,35.21,38.14
房地产开发企业商品房销售额_累计,陕西省,月,亿元,86.74,185.48,294.19,398.98,589.04,766.49,891.67,1054.11,1194.13,1360.86,1597.44,98.36,233.35,361.1,501.42,695.76,824.54,968.92,1149.67,1333.55,1496.19,1785.17
房地产开发企业商品房销售额_累计,甘肃省,月,亿元,36.35,90.54,134.88,181.52,261.28,328.67,383.98,485.7,558.1,629.53,704.93,42.05,119.21,180.16,241.9,330.14,405.1,485.27,601.89,701.3,799.27,873.46
房地产开发企业商品房销售额_累计,青海省,月,亿元,4.42,12.72,27.67,51.97,71.35,85.67,99.42,125.11,181.5,193.93,206,4,13.75,26.97,50.71,69.43,83.69,103.56,151.25,195.81,215.42,236.44
房地产开发企业商品房销售额_累计,宁夏回族自治区,月,亿元,24.3,50.12,80.36,110.17,137.17,173.2,210.67,248.74,285.86,323.34,370.3,23.49,57.04,89.59,122.83,156.66,193.4,226.52,264.9,313.99,354.33,409.71
房地产开发企业商品房销售额_累计,新疆维吾尔自治区,月,亿元,34.72,84.56,146.72,208.48,285.9,353.59,409.91,492.15,655.39,754.79,849.18,42.62,95.45,167.33,247.64,341.06,413.98,482.57,564.02,641.42,747.46,846.84