指标,地区,频度,单位,2015-03,2015-06,2015-09,2015-12,2016-03,2016-06,2016-09,2016-12
城镇居民家庭人均总收入_可支配收入_累计,全国,月,元,8571.85,15698.95,23512.12,31194.83,9254.71,16957,25336.59,33616
城镇居民家庭人均总收入_可支配收入_累计,北京市,月,元,13502.7,26170.7,39141.89,52859.17,14571.08,28447.64,42425.8,57275
城镇居民家庭人均总收入_可支配收入_累计,天津市,月,元,9604.55,18130.7,27244.47,34101.35,10431.25,19785.92,29661.95,37110
城镇居民家庭人均总收入_可支配收入_累计,河北省,月,元,6698.05,12561.9,19118.01,26152.16,7242.65,13585.35,20654.82,28249
城镇居民家庭人均总收入_可支配收入_累计,山西省,月,元,6415.3,12274,19046.34,25827.72,6847.73,13015.76,20175.63,27352
城镇居民家庭人均总收入_可支配收入_累计,内蒙古自治区,月,元,7969.42,15122,23065.34,30594.1,8604.46,16338.5,24895.38,32975
城镇居民家庭人均总收入_可支配收入_累计,辽宁省,月,元,7938.35,15624,23341.14,31125.73,8486.84,16560.06,24701.3,32876
城镇居民家庭人均总收入_可支配收入_累计,吉林省,月,元,6393.62,12400.4,18435.46,24900.86,6817.57,13246.9,19659.46,26530
城镇居民家庭人均总收入_可支配收入_累计,黑龙江省,月,元,6249.19,11643.5,17837.54,24202.62,6632.76,12370.34,18914.43,25736
城镇居民家庭人均总收入_可支配收入_累计,上海市,月,元,14152.66,26663.8,39686.09,52961.86,15391.59,29030.19,43185.41,57692
城镇居民家庭人均总收入_可支配收入_累计,江苏省,月,元,11516.48,19347.9,28340.56,37173.48,12449.62,20925.46,30592.21,40152
城镇居民家庭人均总收入_可支配收入_累计,浙江省,月,元,13362.55,22640,33464.5,43714.48,14427.21,24519.03,36093.25,47237
城镇居民家庭人均总收入_可支配收入_累计,安徽省,月,元,7377.88,13375.7,20094.99,26935.76,8020.46,14541.8,21785.86,29156
城镇居民家庭人均总收入_可支配收入_累计,福建省,月,元,9825.86,17761.3,26300.55,33275.34,10645.52,19266.95,28481.32,36014
城镇居民家庭人均总收入_可支配收入_累计,江西省,月,元,6896.44,12618.1,19253.4,26500.12,7509.54,13715.99,20848.16,28673
城镇居民家庭人均总收入_可支配收入_累计,山东省,月,元,8629.91,15700.4,23686.39,31545.27,9311.8,16965.47,25561.14,34012
城镇居民家庭人均总收入_可支配收入_累计,河南省,月,元,6700.65,12569.2,18797.21,25575.61,7165.03,13392.05,19983.39,27233
城镇居民家庭人均总收入_可支配收入_累计,湖北省,月,元,7720.45,13751.7,20301.22,27051.47,8406.69,14966.99,22072.14,29386
城镇居民家庭人均总收入_可支配收入_累计,湖南省,月,元,7839.96,13649.9,20554.13,28838.07,8529.97,14825.42,22307.14,31284
城镇居民家庭人均总收入_可支配收入_累计,广东省,月,元,9630.93,18214.8,27410.01,34757.16,10451.6,19777.15,29752.54,37684
城镇居民家庭人均总收入_可支配收入_累计,广西壮族自治区,月,元,7164.12,12991.6,19829.91,26415.87,7702.3,14023.71,21263.49,28324
城镇居民家庭人均总收入_可支配收入_累计,海南省,月,元,7073.87,13196.5,19561.77,26356.42,7629.63,14265.12,21148.23,28453
城镇居民家庭人均总收入_可支配收入_累计,重庆市,月,元,7955.94,14306.9,21007.29,27238.84,8651.24,15568.52,22839.94,29610
城镇居民家庭人均总收入_可支配收入_累计,四川省,月,元,7082.72,13195.7,19474.87,26205.25,7679.94,14308.08,21080.06,28335
城镇居民家庭人均总收入_可支配收入_累计,贵州省,月,元,6473.3,12285.2,18269.84,24579.64,7072.02,13430.22,19916.87,26743
城镇居民家庭人均总收入_可支配收入_累计,云南省,月,元,6975.58,12989.9,19457.54,26373.23,7585.13,14151.27,21108.34,28611
城镇居民家庭人均总收入_可支配收入_累计,西藏自治区,月,元,5997.74,12589.8,19312.8,25456.63,6656.95,13899.92,21157.38,27802
城镇居民家庭人均总收入_可支配收入_累计,陕西省,月,元,6914.29,13185.9,20029.04,26420.21,7360.43,14153.84,21559.54,28440
城镇居民家庭人均总收入_可支配收入_累计,甘肃省,月,元,6258.56,11243,17638.49,23767.08,6704.21,12162.32,19105.1,25693
城镇居民家庭人均总收入_可支配收入_累计,青海省,月,元,6212.87,11402.4,17944.97,24542.35,6768.18,12453.3,19563.84,26757
城镇居民家庭人均总收入_可支配收入_累计,宁夏回族自治区,月,元,6271.84,11836.9,18062.23,25186.01,6651.44,12608.17,19334.44,27153
城镇居民家庭人均总收入_可支配收入_累计,新疆维吾尔自治区,月,元,6469.92,12727.4,19193.97,26274.66,7107.35,13868.5,20825.76,28463